country,iso3,mean_temp,std_temp,median_temp,max_temp,min_temp,warming_rate,trend_r2,early_mean,early_std,recent_mean,recent_std,period_change,acceleration,years_data,cluster
Jordan,JOR,0.36240322580645157,0.7815484724751907,0.379,2.625,-1.11,0.02898348064767949,0.4404315068517515,-0.0688,0.5666159564513367,1.3944615384615386,0.5699103168313144,1.4632615384615386,0.06311048387096775,62,1
"Kazakhstan, Rep. of",KAZ,1.3268064516129037,0.8259689683835406,1.487,2.853,-0.408,0.0439326612903226,0.22632761600455337,0.0,0.0,1.5585384615384614,0.7098317424320376,1.5585384615384614,-0.04373382352941178,31,2
Kenya,KEN,0.46080645161290323,0.5194967427855812,0.386,1.624,-0.641,0.02506358439727028,0.7454351055770888,0.004449999999999996,0.3024847060074626,1.1898461538461538,0.2532554198675868,1.1853961538461537,0.023855241935483867,62,0
Kiribati,KIR,0.2453793103448276,0.39080062945923116,0.175,1.425,-0.442,0.017813799978630824,0.6301085369078249,-0.03855000000000001,0.2140522501387773,0.8142727272727274,0.3625796714955462,0.8528227272727273,0.025551694917053898,58,0
"Korea, Dem. People's Rep. of",PRK,0.625790322580645,0.6918886992605183,0.609,1.864,-0.702,0.028196696129535896,0.5318793287421869,0.04305000000000001,0.425603902213017,1.1843846153846154,0.6044077732874193,1.1413346153846153,-0.0013766129032258025,62,0
"Korea, Rep. of",KOR,0.48587096774193544,0.6524056348491591,0.507,1.762,-0.808,0.02570990405681045,0.49734143549558,-0.006700000000000009,0.4919956247131087,1.0906923076923078,0.5310998626459661,1.0973923076923078,0.014978629032258066,62,0
Kuwait,KWT,0.772951612903226,0.9085188305151548,0.629,2.676,-0.781,0.04130868021455012,0.6620700033428671,0.042449999999999974,0.5759877077452992,1.9443846153846154,0.4481507444416329,1.9019346153846155,0.047840725806451614,62,1
Kyrgyz Rep.,KGZ,1.13141935483871,0.6314626019725209,1.28,2.619,-0.382,0.04442862903225807,0.3960231205639407,0.0,0.0,1.4106153846153846,0.5556480508471675,1.4106153846153846,-0.041238445378151245,31,2
Lao People's Dem. Rep.,LAO,0.5217258064516128,0.5666928441904024,0.472,2.2,-0.49,0.025178187403993864,0.6321826963287801,0.023750000000000004,0.3450284313227718,1.2524615384615387,0.47271989863353814,1.2287115384615388,0.01351895161290323,62,0
Latvia,LVA,1.5134193548387098,0.7846819686238844,1.562,3.55,-0.411,0.052233064516129024,0.35448156497072797,0.0,0.0,1.8924615384615384,0.740358540999406,1.8924615384615384,0.030667436974789915,31,2
Lebanon,LBN,0.4253548387096775,0.768906976561937,0.3895,2.353,-1.017,0.030475888292916323,0.5030999586393876,-0.051449999999999996,0.5263064421538384,1.4557692307692305,0.4926154947228372,1.5072192307692305,0.060916129032258064,62,1
"Lesotho, Kingdom of",LSO,0.5180645161290323,0.512636350735815,0.4505,2.015,-0.422,0.020549218100778123,0.5145895287235694,0.08084999999999998,0.2596311705801946,1.1437692307692306,0.44323134550821836,1.0629192307692308,0.012873387096774193,62,0
Liberia,LBR,0.6219677419354838,0.5305168194634462,0.543,1.593,-0.259,0.02735624889829014,0.8515377717337655,0.0697,0.2372196628044409,1.3053846153846156,0.2520871338980295,1.2356846153846155,0.0089491935483871,62,0
Libya,LBY,0.4556774193548387,0.606436518343377,0.32499999999999996,2.074,-0.557,0.02589262420991665,0.583808728132418,-0.04835,0.3416517579117815,1.175153846153846,0.5192861841274433,1.2235038461538459,0.02047016129032258,62,0
Liechtenstein,LIE,0.7898709677419354,0.8514982712438832,0.8995,2.534,-0.84,0.03862123844778524,0.6588309444117679,0.010600000000000014,0.4723692133111667,1.7883076923076924,0.6007204542069166,1.7777076923076924,0.019385483870967724,62,1
Lithuania,LTU,1.4637419354838712,0.8010468138122981,1.49,3.445,-0.518,0.05261612903225806,0.3451532603143321,0.0,0.0,1.8573076923076925,0.7536494968502029,1.8573076923076925,0.04182415966386552,31,2
"Madagascar, Rep. of",MDG,0.43348387096774194,0.46688600328392255,0.41800000000000004,1.438,-0.588,0.02224784064868677,0.7271820664507154,0.017050000000000003,0.337747410290434,1.076769230769231,0.21498571807066388,1.059719230769231,0.01511653225806452,62,0
Malawi,MWI,0.4773064516129032,0.4910934340083551,0.508,1.366,-0.572,0.022672685150210262,0.6826008071781888,-0.004149999999999997,0.29093122265544047,1.0134615384615386,0.21635334347028065,1.0176115384615387,-0.0008068548387096808,62,0
Malaysia,MYS,0.545483870967742,0.5314552371504989,0.47250000000000003,1.836,-0.243,0.027023595477323664,0.8280222722375813,0.0186,0.19241988079799807,1.3372307692307692,0.31481638930392264,1.3186307692307693,0.0200125,62,0
Maldives,MDV,0.43089285714285713,0.3944984464287456,0.4155,1.555,-0.318,0.01820438846517778,0.5834227323011748,0.04385714285714285,0.25385363958326523,0.9196153846153846,0.2912563414077991,0.8757582417582418,0.011309853361043622,56,0
Mali,MLI,0.6118709677419354,0.5312285664403688,0.6465000000000001,1.687,-0.471,0.02278970562312709,0.5893913088535743,0.08995,0.41548291180263963,1.0911538461538461,0.33298094193558236,1.0012038461538462,-0.014354838709677409,62,0
Malta,MLT,0.6353709677419354,0.7120967276148014,0.624,2.123,-0.706,0.033446677243081264,0.7065080539284895,-0.0981,0.32822359195491946,1.4902307692307697,0.3082948139487467,1.5883307692307698,0.01787459677419355,62,1
